City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Bilma,NE,18.6853,12.9164,84.29,8,97,6.82,overcast clouds
263,Aja,EG,30.9415,31.2915,52.79,80,62,11.07,broken clouds
264,Caravelas,BR,-17.7125,-39.2481,79.21,76,100,5.77,overcast clouds
265,Pozo Colorado,PY,-23.4923,-58.7972,101.53,23,68,8.79,broken clouds
266,Frumusica,RO,47.5333,26.9,32.16,89,99,4.79,overcast clouds
267,Avera,US,33.194,-82.5271,78.31,50,18,11.14,few clouds
268,Port Hedland,AU,-20.3167,118.5667,77.05,88,13,5.75,few clouds
269,Krasnovishersk,RU,60.4078,57.082,10.2,86,95,9.37,overcast clouds
270,Umm Kaddadah,SD,13.6017,26.6876,77.31,10,8,12.73,clear sky
271,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,10.99,92,0,4.47,clear sky
272,Ketchikan,US,55.3422,-131.6461,42.82,85,96,1.32,overcast clouds
273,Evensk,RU,61.95,159.2333,-0.31,76,54,12.59,broken clouds
274,Matay,EG,28.419,30.7792,70.16,18,100,6.33,overcast clouds
275,San Cristobal,VE,7.7669,-72.225,75.38,70,94,1.81,overcast clouds
276,Stillwater,US,36.1156,-97.0584,82.89,25,0,29.93,clear sky
277,Ankazoabo,MG,-22.2833,44.5167,75.51,76,28,4.07,scattered clouds
278,Vila,PT,42.0304,-8.1588,40.33,75,100,4.76,overcast clouds
279,Coahuayana,MX,18.7333,-103.6833,90.88,44,0,8.46,clear sky
280,Norsup,VU,-16.0667,167.3833,82.58,77,21,5.55,few clouds
281,Zhanaozen,KZ,43.3,52.8,41.63,53,100,29.91,overcast clouds
282,Northam,GB,51.0333,-4.2167,44.02,67,9,14.79,clear sky
283,Minyar,RU,55.0709,57.5485,25.61,95,100,11.27,light snow
284,Fayetteville,US,35.0527,-78.8784,77.2,62,100,5.75,overcast clouds
285,Neubrandenburg,DE,53.5667,13.2667,33.89,81,4,4.41,clear sky
286,Sterlibashevo,RU,53.4376,55.2578,27.63,96,100,14.03,light snow
287,Yumen,CN,40.2833,97.2,38.86,32,64,20.33,broken clouds
288,Kathu,TH,7.9178,98.3332,84.69,82,94,6.96,overcast clouds
289,Lermontovka,RU,47.1453,134.3383,19.99,94,100,9.84,light snow
290,Kitimat,CA,54.0524,-128.6534,45.91,66,66,2.01,broken clouds
291,Alofi,NU,-19.0595,-169.9187,81.39,78,85,12.97,overcast clouds
292,Dekar,BW,-21.5333,21.9333,67.93,91,100,5.28,moderate rain
293,Eregli,TR,37.5133,34.0467,34.47,59,32,5.19,scattered clouds
294,Baker City,US,44.7749,-117.8344,43.16,57,0,26.46,clear sky
295,Kralendijk,BQ,12.15,-68.2667,80.58,69,75,18.41,broken clouds
296,Bad Windsheim,DE,49.5,10.4167,34.77,60,100,3.44,overcast clouds
297,Hvide Sande,DK,56.0045,8.1294,34.11,70,16,8.14,few clouds
298,Naron,ES,43.5167,-8.1528,49.59,64,45,3.0,scattered clouds
299,Prince George,CA,53.9166,-122.753,40.24,55,0,5.75,clear sky
300,Asyut,EG,27.181,31.1837,72.01,16,98,6.44,overcast clouds
301,Quatre Cocos,MU,-20.2078,57.7625,80.1,84,99,13.98,light rain
302,Doha,QA,25.2867,51.5333,67.98,83,95,18.41,overcast clouds
303,Zhangjiakou,CN,40.81,114.8794,25.95,25,30,3.96,light snow
304,Glendive,US,47.1053,-104.7125,21.69,73,100,19.57,overcast clouds
305,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,95.5,34,42,7.78,scattered clouds
306,Houma,US,29.5958,-90.7195,80.6,71,40,17.27,scattered clouds
307,Antalaha,MG,-14.9003,50.2788,75.54,93,100,5.32,moderate rain
308,Isangel,VU,-19.55,169.2667,81.45,72,7,3.69,clear sky
309,Klin,RU,56.3333,36.7333,26.91,88,100,5.21,overcast clouds
310,Neryungri,RU,56.6709,124.6491,-29.4,97,57,2.71,broken clouds
311,Mingaora,PK,34.7758,72.3625,57.2,43,100,7.23,overcast clouds
312,Cabo San Lucas,MX,22.8909,-109.9124,80.62,58,0,11.5,clear sky
313,Kutum,SD,14.2,24.6667,74.43,12,71,8.81,broken clouds
314,Nantucket,US,41.2835,-70.0995,39.96,52,0,18.41,clear sky
315,West Wendover,US,40.7391,-114.0733,36.61,87,100,16.11,overcast clouds
316,Ekibastuz,KZ,51.6667,75.3667,36.72,78,100,27.16,overcast clouds
317,Brae,GB,60.3964,-1.353,42.71,77,8,11.88,clear sky
318,Kizhinga,RU,51.8462,109.9097,6.84,97,100,1.74,overcast clouds
319,Labuhan,ID,-6.8844,112.2051,77.58,88,100,7.63,overcast clouds
320,Ritchie,ZA,-29.038,24.6028,73.06,60,65,8.46,light rain
321,Ilulissat,GL,69.2167,-51.1,35.62,35,75,14.97,broken clouds
322,Lebu,CL,-37.6167,-73.65,60.82,67,2,13.44,clear sky
323,Torbay,CA,47.6666,-52.7314,24.58,77,75,21.85,broken clouds
324,Touros,BR,-5.1989,-35.4608,83.3,79,96,9.84,overcast clouds
325,Margate,GB,51.3813,1.3862,42.51,76,100,10.0,overcast clouds
326,Urumqi,CN,43.801,87.6005,27.55,93,89,4.47,overcast clouds
327,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,78.84,83,30,4.25,scattered clouds
328,Iqaluit,CA,63.7506,-68.5145,-2.47,78,40,18.41,scattered clouds
329,Haines Junction,CA,60.7522,-137.5108,28.8,94,100,2.28,light snow
330,Huarmey,PE,-10.0681,-78.1522,77.14,69,36,10.02,scattered clouds
331,Hong Gai,VN,20.956,107.0946,67.91,97,87,2.13,overcast clouds
332,Birao,CF,10.2849,22.7882,82.36,12,20,6.13,few clouds
333,Nanortalik,GL,60.1432,-45.2371,24.15,80,100,19.77,light snow
334,Sur,OM,22.5667,59.5289,74.41,62,11,9.53,few clouds
335,Trairi,BR,-3.2778,-39.2689,80.04,79,74,9.22,broken clouds
336,Naryan-Mar,RU,67.6713,53.087,-27.2,100,82,1.95,broken clouds
337,Henties Bay,NA,-22.116,14.2845,59.86,85,0,5.14,clear sky
338,Garzon,CO,2.1959,-75.6278,77.97,79,96,1.68,moderate rain
339,Kaeo,NZ,-35.1,173.7833,72.32,78,60,12.68,broken clouds
340,Plouzane,FR,48.3833,-4.6167,44.92,81,75,12.66,broken clouds
341,Qaqortoq,GL,60.7167,-46.0333,27.1,81,100,16.51,light snow
342,Ouallam,NE,14.3188,2.0866,86.92,14,99,7.7,overcast clouds
343,Diffa,NE,13.3154,12.6113,85.5,9,18,5.91,few clouds
344,Pocone,BR,-16.2567,-56.6228,83.66,74,10,4.29,clear sky
345,Kyshtovka,RU,56.555,76.6271,20.93,95,100,13.18,overcast clouds
346,Nemuro,JP,43.3236,145.575,28.45,83,50,13.98,scattered clouds
347,Bogdanesti,RO,47.3667,26.2833,29.66,92,100,3.29,overcast clouds
